chunk	position	next	reference_nll	candidate_nll	kl	same_top
1	380	476	0.311219	0.340488	0.00210886	1
1	381	3717	2.36291	2.39193	0.0026744	1
1	382	3717	3.33333	3.49068	0.00256415	1
1	383	446	9.84913	9.81054	0.00479237	1
1	384	446	3.00745	3.19955	0.00804896	1
1	385	446	0.522303	0.506223	0.00220215	1
1	386	216	3.54227	3.43618	0.00164196	1
1	387	34	3.33229	3.42956	0.00302792	1
1	388	32	0.487581	0.531539	0.00210002	1
1	389	32	0.396727	0.389265	0.00125259	1
1	390	38	1.28953	1.35445	0.00197716	1
1	391	816	4.66755	4.72012	0.00384803	1
1	392	1386	4.51	4.51267	0.0013741	1
1	393	446	3.77766	3.90301	0.00297403	1
1	394	446	0.860033	0.865201	0.0027133	1
1	395	446	0.142784	0.13062	0.00128508	1
1	396	3717	3.33223	3.31702	0.000994909	1
1	397	3717	2.30067	2.40012	0.00390198	1
1	398	533	2.3352	2.37504	0.00606277	1
1	399	216	0.454159	0.475245	0.00440761	1
1	400	34	0.00557501	0.00629847	4.63885e-05	1
1	401	32	0.000299405	0.000328388	1.56219e-06	1
1	402	32	0.0309582	0.0381708	0.000725639	1
1	403	38	0.27	0.30645	0.00220846	1
1	404	389	2.04883	2.00089	0.00571144	1
1	405	9226	0.00212582	0.002642	7.60666e-05	1
1	406	352	2.40343e-05	1.84309e-05	1.35796e-06	1
1	407	4870	0.81015	0.85701	0.00228827	1
1	408	455	0.00021297	0.000285614	1.19999e-05	1
1	409	281	0.645111	0.605818	0.0012456	1
1	410	260	0.629532	0.574845	0.00305724	1
1	411	1238	3.68492	3.86113	0.00254864	1
1	412	35492	13.6513	13.6435	0.00498392	1
1	413	2855	8.75852	8.95351	0.00383611	1
1	414	411	0.0399289	0.0438934	0.000272929	1
1	415	5068	4.5379	4.53127	0.00345899	1
1	416	43967	10.2715	10.1193	0.00770848	1
1	417	17925	2.24707	2.20237	0.0054909	1
1	418	1673	1.6813	1.69307	0.00300257	1
1	419	378	1.09939	1.0917	0.00302113	1
1	420	1238	0.502637	0.539313	0.00341965	1
1	421	436	0.957135	0.984018	0.00185691	1
1	422	599	5.10382	5.26157	0.0030245	1
1	423	282	0.0319715	0.0298252	0.000280639	1
1	424	253	1.27791	1.29627	0.00231296	1
1	425	3086	1.26004	1.26365	0.00297792	1
1	426	527	4.317	4.31586	0.00444716	1
1	427	11364	3.0569	3.20311	0.00433028	1
1	428	896	7.27258	7.32696	0.0041733	1
1	429	47872	4.78236	4.9932	0.0053485	1
1	430	3297	2.9293	3.04401	0.00253036	1
1	431	14089	7.67694	7.58995	0.00342961	1
1	432	18204	10.9097	10.8058	0.00280835	1
1	433	2272	7.00966	7.18818	0.00684332	1
1	434	27821	11.6379	11.7248	0.00637398	1
1	435	3066	11.6229	11.7247	0.00722362	1
1	436	2272	4.20821	4.25869	0.00203319	1
1	437	35492	5.47604	5.73684	0.0036349	1
1	438	1673	0.887029	0.893237	0.00204303	1
1	439	533	2.80316	2.80958	0.00304083	1
1	440	253	3.66612	3.7236	0.00172363	1
1	441	216	2.94886	2.9123	0.00520175	1
1	442	34	0.145237	0.123664	0.00195672	1
1	443	32	0.0545813	0.0505972	0.000324332	1
1	444	32	0.13108	0.126247	0.000115672	1
1	445	38	0.628807	0.612601	0.000780932	1
1	446	5473	0.84315	0.815248	0.00366807	1
1	447	3297	1.98247	2.1116	0.00712534	1
1	448	6955	8.79529	8.72639	0.00693869	1
